id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,age,logLot,predictedPrice,residual,residualPct
"704-Acacia-Dr,-Anna,-TX-75409","704 Acacia Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2376,10890.0,2006.0,265000,114,111.53,0.2182,1,0.0,0,20.0,9.295600215927006,391935.0,126935.0,32.4
"512-N-Sherley-Ave,-Anna,-TX-75409","512 N Sherley Ave, Anna, TX 75409",75409,Single Family,Standard,3,2.0,1420,29185.0,1971.0,215000,147,151.41,0.0487,1,0.0,0,55.0,10.281410157637891,290363.0,75363.0,26.0
"1918-Wolf-Run,-Anna,-TX-75409","1918 Wolf Run, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2154,11021.0,2020.0,306000,8,142.06,0.1954,2,-5.82,1,6.0,9.307557822691543,395215.0,89215.0,22.6
"2014-Tanur-Cascade-Dr,-Anna,-TX-75409","2014 Tanur Cascade Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2709,8276.0,2003.0,318000,41,117.39,0.3273,1,0.0,0,23.0,9.021115038865434,407796.0,89796.0,22.0
"2105-Rougle-Ct,-Anna,-TX-75409","2105 Rougle Ct, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2800,6970.0,2022.0,350000,147,125.0,0.4017,1,0.0,0,4.0,8.84937050375457,448186.0,98186.0,21.9
"201-Pagoda-Dr,-Anna,-TX-75409","201 Pagoda Dr, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2769,6534.0,2006.0,324000,125,117.01,0.4238,2,-12.43,1,20.0,8.784774592161016,407064.0,83064.0,20.4
"2045-Hanakoa-Falls-Dr,-Anna,-TX-75409","2045 Hanakoa Falls Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2696,5663.0,2005.0,309995,127,114.98,0.4761,1,0.0,0,21.0,8.641709066113805,388980.0,78985.0,20.3
"2518-Hawkins-St,-Anna,-TX-75409","2518 Hawkins St, Anna, TX 75409",75409,Single Family,New Construction,4,3.5,3083,6299.0,2026.0,389990,5,126.5,0.4894,1,0.0,0,0.0,8.74814616962193,487670.0,97680.0,20.0
"1129-Honeywell-Dr,-Anna,-TX-75409","1129 Honeywell Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2736,6098.0,2007.0,323000,64,118.06,0.4487,1,0.0,0,19.0,8.7157161275482,401390.0,78390.0,19.5
"1417-Cottonwood-Trl,-Anna,-TX-75409","1417 Cottonwood Trl, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2077,7405.0,2012.0,285000,189,137.22,0.2805,1,0.0,0,14.0,8.909910726701899,351670.0,66670.0,19.0
"2334-Triston-St,-Anna,-TX-75409","2334 Triston St, Anna, TX 75409",75409,Single Family,Standard,4,2.0,1892,7579.0,2017.0,280000,41,147.99,0.2496,2,-9.65,1,9.0,8.93313654381203,343369.0,63369.0,18.5
"2112-Atlantic-Ave,-Anna,-TX-75409","2112 Atlantic Ave, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2404,12371.0,2019.0,350000,26,145.59,0.1943,2,-6.67,1,7.0,9.423110302862831,428649.0,78649.0,18.3
"932-Cottonwood-Trl,-Anna,-TX-75409","932 Cottonwood Trl, Anna, TX 75409",75409,Single Family,Standard,3,2.5,2207,8712.0,2008.0,299900,26,135.89,0.2533,1,0.0,0,18.0,9.072456664612796,365869.0,65969.0,18.0
"502-Hilltop-Dr,-Anna,-TX-75409","502 Hilltop Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2543,6534.0,2003.0,309000,20,121.51,0.3892,2,-3.13,1,23.0,8.784774592161016,376575.0,67575.0,17.9
