id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"525-Liliana-Ln,-Anna,-TX-75409","525 Liliana Ln, Anna, TX 75409",75409,Single Family,Standard,4,3.5,2519.0,5271,2022.0,345000.0,160.0,136.96,0.4779,2.0,-22.47,1.0,95.8,95.4,99.3,96.4,-21.6,455
"201-Pagoda-Dr,-Anna,-TX-75409","201 Pagoda Dr, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2769.0,6534,2006.0,324000.0,125.0,117.01,0.4238,2.0,-12.43,1.0,99.6,89.0,94.7,94.9,-33.0,455
"817-Amy-Blvd,-Anna,-TX-75409","817 Amy Blvd, Anna, TX 75409",75409,Single Family,Standard,4,3,2983.0,6621,2021.0,399900.0,131.0,134.06,0.4505,2.0,-14.91,1.0,96.9,91.2,96.0,94.7,-23.3,455
"2015-Pacific-Ave,-Anna,-TX-75409","2015 Pacific Ave, Anna, TX 75409",75409,Single Family,Standard,4,3,2992.0,7318,2021.0,414900.0,125.0,138.67,0.4089,4.0,-19.44,3.0,93.6,89.0,98.2,92.9,-20.6,455
"251-Cyrus-St,-Anna,-TX-75409","251 Cyrus St, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2619.0,7623,2017.0,385000.0,86.0,147.0,0.3436,2.0,-15.38,1.0,87.3,80.0,96.3,86.5,-15.9,455
"725-Lyndhurst-Dr,-Anna,-TX-75409","725 Lyndhurst Dr, Anna, TX 75409",75409,Single Family,Standard,5,2.5,3330.0,6621,2018.0,455000.0,62.0,136.64,0.5029,3.0,-3.19,1.0,96.3,73.0,80.4,84.9,-21.8,455
"2407-Maston-Dr,-Anna,-TX-75409","2407 Maston Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,2473.0,8015,2017.0,399900.0,184.0,161.71,0.3085,3.0,-15.81,2.0,67.0,98.9,96.7,84.1,-7.4,455
"2209-Sue-Ellen-St,-Anna,-TX-75409","2209 Sue Ellen St, Anna, TX 75409",75409,Single Family,Standard,5,2.5,3065.0,6011,2023.0,425000.0,40.0,138.66,0.5099,2.0,-13.27,1.0,93.8,62.4,95.2,83.1,-20.6,455
"3233-Rolling-Meadow-Dr,-Anna,-TX-75409","3233 Rolling Meadow Dr, Anna, TX 75409",75409,Single Family,Standard,6,4,4299.0,11761,2021.0,599999.0,54.0,139.57,0.3655,2.0,-4.61,1.0,93.4,69.2,83.5,83.0,-20.1,455
"2100-Brentwood-Dr,-Anna,-TX-75409","2100 Brentwood Dr, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2700.0,7187,2023.0,395000.0,48.0,146.3,0.3757,2.0,-16.84,1.0,87.7,67.0,97.4,82.4,-16.3,455
"705-Jessica-Lynn-Ln,-Anna,-TX-75409","705 Jessica Lynn Ln, Anna, TX 75409",75409,Single Family,Standard,4,3.5,2417.0,4792,2022.0,375000.0,111.0,155.15,0.5044,2.0,-6.25,1.0,74.9,85.9,86.6,81.1,-11.2,455
"1404-Forest-Haven-Dr,-Anna,-TX-75409","1404 Forest Haven Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2218.0,6621,2021.0,339900.0,105.0,153.25,0.335,2.0,-2.58,1.0,77.8,84.8,78.7,80.4,-12.3,455
"3009-Earl-Rd,-Anna,-TX-75409","3009 Earl Rd, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2700.0,2627,2019.0,335500.0,178.0,124.26,1.0278,1.0,0.0,0.0,98.7,98.0,6.8,80.1,-28.9,455
"1215-Chapel-Hill-Dr,-Anna,-TX-75409","1215 Chapel Hill Dr, Anna, TX 75409",75409,Single Family,Standard,4,2,2000.0,6795,2020.0,325000.0,145.0,162.5,0.2943,3.0,-6.88,2.0,65.5,93.2,87.9,79.7,-7.0,455
"2334-Triston-St,-Anna,-TX-75409","2334 Triston St, Anna, TX 75409",75409,Single Family,Standard,4,2,1892.0,7579,2017.0,280000.0,41.0,147.99,0.2496,2.0,-9.65,1.0,86.2,63.1,92.7,79.4,-15.3,455
"502-Hilltop-Dr,-Anna,-TX-75409","502 Hilltop Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2543.0,6534,2003.0,309000.0,20.0,121.51,0.3892,2.0,-3.13,1.0,98.9,52.5,80.0,78.9,-30.5,455
"1417-Cottonwood-Trl,-Anna,-TX-75409","1417 Cottonwood Trl, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2077.0,7405,2012.0,285000.0,189.0,137.22,0.2805,1.0,0.0,0.0,95.2,99.1,6.8,78.9,-21.5,455
"2116-Rosemary-Way,-Anna,-TX-75409","2116 Rosemary Way, Anna, TX 75409",75409,Single Family,Standard,5,2,2011.0,7971,2022.0,329900.0,139.0,164.05,0.2523,2.0,-6.81,1.0,63.7,92.3,87.7,78.5,-6.1,455
"2105-Rougle-Ct,-Anna,-TX-75409","2105 Rougle Ct, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2800.0,6970,2022.0,350000.0,147.0,125.0,0.4017,1.0,0.0,0.0,98.5,93.4,6.8,78.4,-28.5,455
"716-Westgate-Ct,-Anna,-TX-75409","716 Westgate Ct, Anna, TX 75409",75409,Single Family,Standard,3,2,1699.0,7405,2013.0,269000.0,78.0,158.33,0.2294,2.0,-15.67,1.0,71.4,76.7,96.5,78.3,-9.4,455
"2012-Pacific-Ave,-Anna,-TX-75409","2012 Pacific Ave, Anna, TX 75409",75409,Single Family,Standard,5,3,2814.0,7928,2022.0,455000.0,104.0,161.69,0.3549,2.0,-8.54,1.0,67.3,84.4,91.2,78.0,-7.5,455
"2045-Hanakoa-Falls-Dr,-Anna,-TX-75409","2045 Hanakoa Falls Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2696.0,5663,2005.0,309995.0,127.0,114.98,0.4761,1.0,0.0,0.0,99.8,90.8,6.8,78.0,-34.2,455
"1116-Elijah-Dr,-Anna,-TX-75409","1116 Elijah Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1871.0,6011,2023.0,319900.0,173.0,170.98,0.3113,2.0,-15.82,1.0,54.7,97.1,96.9,78.0,-2.1,455
"2112-Atlantic-Ave,-Anna,-TX-75409","2112 Atlantic Ave, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2404.0,12371,2019.0,350000.0,26.0,145.59,0.1943,2.0,-6.67,1.0,89.5,55.4,87.3,77.1,-16.7,455
"2020-Robert-St,-Anna,-TX-75409","2020 Robert St, Anna, TX 75409",75409,Single Family,Standard,4,2,1942.0,6011,2021.0,330000.0,155.0,169.93,0.3231,2.0,-10.33,1.0,56.3,94.3,93.2,77.0,-2.7,455
"1413-Sandpebble-Dr,-Anna,-TX-75409","1413 Sandpebble Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1972.0,5663,2024.0,335000.0,179.0,169.88,0.3482,2.0,-4.83,1.0,56.5,98.2,84.6,76.7,-2.8,455
"704-Acacia-Dr,-Anna,-TX-75409","704 Acacia Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2376.0,10890,2006.0,265000.0,114.0,111.53,0.2182,1.0,0.0,0.0,100.0,86.4,6.8,76.6,-36.2,455
"308-Winding-Creek-Ln,-Anna,-TX-75409","308 Winding Creek Ln, Anna, TX 75409",75409,Single Family,Standard,6,3.5,4303.0,9801,2022.0,615000.0,174.0,142.92,0.439,1.0,0.0,0.0,91.4,97.4,6.8,76.6,-18.2,455
"1306-Elizabeth-St,-Anna,-TX-75409","1306 Elizabeth St, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2781.0,6055,2017.0,404900.0,201.0,145.6,0.4593,1.0,0.0,0.0,89.2,99.6,6.8,76.4,-16.7,455
"745-Waterhouse-Lake-Dr,-Anna,-TX-75409","745 Waterhouse Lake Dr, Anna, TX 75409",75409,Single Family,New Construction,5,3.5,3155.0,,0.0,432000.0,13.0,136.93,,3.0,-12.37,2.0,96.0,38.0,94.5,75.4,-21.6,455
"2619-Hawkins-St,-Anna,-TX-75409","2619 Hawkins St, Anna, TX 75409",75409,Single Family,New Construction,4,2.5,2331.0,4966,2026.0,349990.0,41.0,150.15,0.4694,2.0,-3.05,1.0,82.2,63.1,79.6,75.0,-14.1,455
"2936-Kimberwick-Dr,-Anna,-TX-75409","2936 Kimberwick Dr, Anna, TX 75409",75409,Single Family,New Construction,4,2.5,2156.0,4617,2025.0,349990.0,82.0,162.33,0.467,2.0,-7.84,1.0,65.9,78.2,89.2,74.9,-7.1,455
"2621-Grand-Teton-Dr,-Anna,-TX-75409","2621 Grand Teton Dr, Anna, TX 75409",75409,Single Family,New Construction,4,3.5,3100.0,5227,2026.0,424756.0,106.0,137.02,0.5931,1.0,0.0,0.0,95.6,85.5,6.8,74.3,-21.6,455
"605-Florence-Way,-Anna,-TX-75409","605 Florence Way, Anna, TX 75409",75409,Single Family,Standard,4,3.5,2519.0,5663,2023.0,374000.0,174.0,148.47,0.4448,1.0,0.0,0.0,85.5,97.4,6.8,73.9,-15.0,455
