id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"2303-Panorama-Ct,-Arlington,-TX-76016","2303 Panorama Ct, Arlington, TX 76016",76016,Single Family,Standard,4,4,6870,40075,2002,1100000,317,160.12,0.1714,1,0.0,0
"1634-Powder-Horn-Ln,-Arlington,-TX-76018","1634 Powder Horn Ln, Arlington, TX 76018",76018,Single Family,Standard,3,2,1641,7318,2005,347700,313,211.88,0.2242,1,0.0,0
"5010-Coventry-Ln,-Arlington,-TX-76017","5010 Coventry Ln, Arlington, TX 76017",76017,Single Family,Standard,5,4.5,3694,20299,1999,473900,286,128.29,0.182,2,-8.09,1
"1304-E-Lovers-Ln,-Arlington,-TX-76010","1304 E Lovers Ln, Arlington, TX 76010",76010,Single Family,Standard,4,2,1106,7492,1954,220000,309,198.92,0.1476,1,0.0,0
"2736-Silver-Creek-Dr,-Apt-223,-Arlington,-TX-76006","2736 Silver Creek Dr, Apt 223, Arlington, TX 76006",76006,Condo,Standard,2,2,952,2265,1983,199000,299,209.03,0.4203,1,0.0,0
"529-Lochngreen-Trl,-Arlington,-TX-76012","529 Lochngreen Trl, Arlington, TX 76012",76012,Townhouse,Standard,2,2.5,1919,3006,1994,350000,299,182.39,0.6384,1,0.0,0
"4825-Beaver-Creek-Dr,-Arlington,-TX-76005","4825 Beaver Creek Dr, Arlington, TX 76005",76005,Single Family,Standard,2,2,2536,6142,2020,565000,293,222.79,0.4129,1,0.0,0
"401-Rocky-Canyon-Ct,-Arlington,-TX-76011","401 Rocky Canyon Ct, Arlington, TX 76011",76011,Single Family,Standard,5,3.5,3199,12197,1976,564000,280,176.31,0.2623,3,41.04,1
"1122-Millview-Dr,-Unit-301,-Arlington,-TX-76012","1122 Millview Dr, Unit 301, Arlington, TX 76012",76012,Condo,Standard,2,2,1000,741,1984,130000,278,130.0,1.3495,2,-10.34,1
"1805-Old-Oak-Dr,-Arlington,-TX-76012","1805 Old Oak Dr, Arlington, TX 76012",76012,Single Family,Standard,4,2.5,2527,12545,2002,424999,272,168.18,0.2014,1,0.0,0
"2016-Westbain-Dr,-Arlington,-TX-76015","2016 Westbain Dr, Arlington, TX 76015",76015,Townhouse,Standard,3,2,1400,2875,1973,213000,257,152.14,0.487,1,0.0,0
"2307-Balsam-Dr,-Apt-L205,-Arlington,-TX-76006","2307 Balsam Dr, Apt L205, Arlington, TX 76006",76006,Condo,Standard,2,2,1031,2744,1983,130000,250,126.09,0.3757,3,-25.07,2
"2310-Balsam-Dr,-Apt-B206,-Arlington,-TX-76006","2310 Balsam Dr, Apt B206, Arlington, TX 76006",76006,Condo,Standard,2,1,931,2483,1981,122500,244,131.58,0.3749,1,0.0,0
"2117-Park-Willow-Ln,-Apt-D,-Arlington,-TX-76011","2117 Park Willow Ln, Apt D, Arlington, TX 76011",76011,Condo,Standard,2,1.5,956,2396,1981,149999,246,156.9,0.399,1,0.0,0
"3510-Chamberland-Dr,-Arlington,-TX-76014","3510 Chamberland Dr, Arlington, TX 76014",76014,Single Family,Standard,3,2,1892,7275,1979,279000,240,147.46,0.2601,1,0.0,0
"4127-Cascade-Sky-Dr,-Arlington,-TX-76005","4127 Cascade Sky Dr, Arlington, TX 76005",76005,Townhouse,Standard,3,2.5,1981,3572,2014,392500,239,198.13,0.5546,1,0.0,0
"1320-Apache-St,-Arlington,-TX-76012","1320 Apache St, Arlington, TX 76012",76012,Single Family,Standard,3,2,2086,8886,1964,314000,239,150.53,0.2348,1,0.0,0
"1719-Autumn-Ln,-Arlington,-TX-76012","1719 Autumn Ln, Arlington, TX 76012",76012,Single Family,Standard,4,3.5,2812,4356,1973,429000,236,152.56,0.6455,1,0.0,0
"2312-Perkins-Rd,-Arlington,-TX-76016","2312 Perkins Rd, Arlington, TX 76016",76016,Townhouse,Standard,2,2.5,1390,3964,1985,235000,236,169.06,0.3507,1,0.0,0
"6602-Fox-Glen-Dr,-Arlington,-TX-76001","6602 Fox Glen Dr, Arlington, TX 76001",76001,Single Family,Standard,5,3,2983,7405,2003,449900,230,150.82,0.4028,1,0.0,0
"827-Crystal-Oak-Ln,-Arlington,-TX-76005","827 Crystal Oak Ln, Arlington, TX 76005",76005,Townhouse,Standard,3,2.5,2094,3615,2021,415000,222,198.19,0.5793,1,0.0,0
"1818-Reever-St,-Arlington,-TX-76010","1818 Reever St, Arlington, TX 76010",76010,Single Family,Standard,4,2,1987,7013,1953,239900,211,120.73,0.2833,1,0.0,0
"3718-Pelican-Rest-Way,-Arlington,-TX-76005","3718 Pelican Rest Way, Arlington, TX 76005",76005,Townhouse,Standard,3,3.5,2011,1525,2021,500000,202,248.63,1.3187,2,0.0,0
