id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,age,logLot,predictedPrice,residual,residualPct
"602-Flooded-Gum-St,-Arlington,-TX-76002","602 Flooded Gum St, Arlington, TX 76002",76002,Single Family,Standard,5,3.0,3527,6011.0,2004,332500,114,94.27,0.5868,1,0.0,0,22,8.701346403039162,499556.0,167056.0,33.4
"127-Kings-Row-St,-Arlington,-TX-76010","127 Kings Row St, Arlington, TX 76010",76010,Single Family,Standard,4,2.0,1881,9757.0,1968,225000,123,119.62,0.1928,1,0.0,0,58,9.18574025510795,337586.0,112586.0,33.4
"1614-Powder-Horn-Ln,-Arlington,-TX-76018","1614 Powder Horn Ln, Arlington, TX 76018",76018,Single Family,Standard,5,2.5,3889,7187.0,2004,400000,93,102.85,0.5411,1,0.0,0,22,8.880029117468442,585000.0,185000.0,31.6
"6611-Olivewood-Dr,-Arlington,-TX-76001","6611 Olivewood Dr, Arlington, TX 76001",76001,Townhouse,Standard,3,2.0,1351,4269.0,1986,169900,55,125.76,0.3165,4,-39.32,2,40,8.359134886757962,245698.0,75798.0,30.9
"5010-Coventry-Ln,-Arlington,-TX-76017","5010 Coventry Ln, Arlington, TX 76017",76017,Single Family,Standard,5,4.5,3694,20299.0,1999,473900,286,128.29,0.182,2,-8.09,1,27,9.918326902732767,683063.0,209163.0,30.6
"2304-Balsam-Dr,-Apt-E107,-Arlington,-TX-76006","2304 Balsam Dr, Apt E107, Arlington, TX 76006",76006,Townhouse,Standard,2,1.0,808,2134.0,1981,131700,51,163.0,0.3786,1,0.0,0,45,7.665753431861699,188565.0,56865.0,30.2
"1503-N-Fielder-Rd,-Arlington,-TX-76012","1503 N Fielder Rd, Arlington, TX 76012",76012,Single Family,Standard,5,3.0,2658,14505.0,1978,355000,83,133.56,0.1832,1,0.0,0,48,9.582248696555505,475595.0,120595.0,25.4
"4567-Cypress-Thorn-Dr,-Arlington,-TX-76005","4567 Cypress Thorn Dr, Arlington, TX 76005",76005,Townhouse,Standard,3,2.5,1990,4922.0,2021,369900,90,185.88,0.4043,1,0.0,0,5,8.501470230951002,489364.0,119464.0,24.4
"1822-E-Cedar-Elm-Dr,-Arlington,-TX-76012","1822 E Cedar Elm Dr, Arlington, TX 76012",76012,Single Family,Standard,3,2.0,2085,10977.0,1969,280000,152,134.29,0.1899,1,0.0,0,57,9.303557453687317,368488.0,88488.0,24.0
"523-Zachum-Dr,-Arlington,-TX-76002","523 Zachum Dr, Arlington, TX 76002",76002,Single Family,Standard,5,3.0,3609,8189.0,2004,415000,140,114.99,0.4407,1,0.0,0,22,9.010547069270189,544910.0,129910.0,23.8
