id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"5010-Coventry-Ln,-Arlington,-TX-76017","5010 Coventry Ln, Arlington, TX 76017",76017,Single Family,Standard,5,4.5,3694.0,20299,1999.0,473900.0,286.0,128.29,0.182,2.0,-8.09,1.0,100.0,97.9,93.8,98.0,-24.3,48
"7107-Chambers-Creek-Ln,-Arlington,-TX-76002","7107 Chambers Creek Ln, Arlington, TX 76002",76002,Single Family,Standard,4,2.5,3261.0,7187,2000.0,385000.0,125.0,118.06,0.4537,2.0,-6.1,1.0,95.8,91.7,95.8,94.4,-34.8,24
"3309-Landhope-Cir,-Arlington,-TX-76016","3309 Landhope Cir, Arlington, TX 76016",76016,Single Family,Standard,4,2.5,2874.0,5140,2005.0,385900.0,98.0,134.27,0.5591,2.0,-7.9,1.0,98.3,67.2,87.9,85.3,-22.1,58
"2504-Moores-Lndg,-Arlington,-TX-76016","2504 Moores Lndg, Arlington, TX 76016",76016,Single Family,Standard,3,3,3034.0,5532,2016.0,480000.0,132.0,158.21,0.5484,3.0,-6.8,2.0,81.0,89.7,84.5,84.7,-8.2,58
"2615-Fox-Creek-Trl,-Arlington,-TX-76017","2615 Fox Creek Trl, Arlington, TX 76017",76017,Single Family,Standard,4,2,3126.0,8407,2006.0,439999.0,102.0,140.75,0.3718,2.0,-5.38,1.0,89.6,66.7,87.5,81.1,-16.9,48
"7800-Pirate-Point-Cir,-Arlington,-TX-76016","7800 Pirate Point Cir, Arlington, TX 76016",76016,Single Family,Standard,4,2.5,3488.0,8189,2000.0,499950.0,94.0,143.33,0.4259,2.0,-4.77,1.0,93.1,63.8,79.3,80.1,-16.8,58
"2015-Wimbledon-Dr,-Arlington,-TX-76017","2015 Wimbledon Dr, Arlington, TX 76017",76017,Single Family,Standard,4,3,3104.0,8451,1981.0,429000.0,93.0,138.21,0.3673,2.0,-7.74,1.0,91.7,54.2,91.7,78.5,-18.4,48
"523-Zachum-Dr,-Arlington,-TX-76002","523 Zachum Dr, Arlington, TX 76002",76002,Single Family,Standard,5,3,3609.0,8189,2004.0,415000.0,140.0,114.99,0.4407,1.0,0.0,0.0,100.0,95.8,0.0,78.5,-36.5,24
"6211-Fox-Hunt-Dr,-Arlington,-TX-76001","6211 Fox Hunt Dr, Arlington, TX 76001",76001,Single Family,Standard,4,2.5,3120.0,8102,1994.0,472000.0,126.0,151.28,0.3851,2.0,-0.63,1.0,75.9,75.9,87.0,78.1,-9.1,54
"6511-Devine-Dr,-Arlington,-TX-76001","6511 Devine Dr, Arlington, TX 76001",76001,Single Family,Standard,3,2,1662.0,6055,1986.0,270000.0,176.0,162.45,0.2745,3.0,-7.85,2.0,59.3,92.6,94.4,78.0,-2.4,54
"2103-Bay-Club-Dr,-Arlington,-TX-76013","2103 Bay Club Dr, Arlington, TX 76013",76013,Single Family,Standard,4,4.5,4120.0,14636,1985.0,644900.0,99.0,156.53,0.2815,3.0,-7.74,2.0,78.9,71.1,86.8,77.8,-10.9,38
"520-Pecan-Acres-Ct,-Arlington,-TX-76013","520 Pecan Acres Ct, Arlington, TX 76013",76013,Townhouse,Standard,2,1.5,1120.0,1189,1981.0,179500.0,110.0,160.27,0.942,3.0,-25.21,2.0,71.1,73.7,97.4,77.2,-8.7,38
"4303-Solitude-Ct,-Arlington,-TX-76017","4303 Solitude Ct, Arlington, TX 76017",76017,Single Family,Standard,5,3.5,2922.0,11761,1992.0,395000.0,175.0,135.18,0.2484,1.0,0.0,0.0,95.8,95.8,2.1,77.1,-20.2,48
"2506-Holt-Rd,-Arlington,-TX-76006","2506 Holt Rd, Arlington, TX 76006",76006,Single Family,Standard,3,2,1787.0,7187,1980.0,325900.0,175.0,182.37,0.2486,2.0,-24.21,1.0,55.0,95.0,95.0,77.0,-0.1,20
"2206-Oak-Forest-Ct,-Arlington,-TX-76012","2206 Oak Forest Ct, Arlington, TX 76012",76012,Single Family,Standard,3,2.5,2818.0,10803,1973.0,375000.0,172.0,133.07,0.2609,1.0,0.0,0.0,97.5,85.0,12.5,76.1,-19.9,40
"5732-Chelmsford-Trl,-Arlington,-TX-76018","5732 Chelmsford Trl, Arlington, TX 76018",76018,Single Family,Standard,4,3,2765.0,8189,1996.0,415000.0,150.0,150.09,0.3376,2.0,-7.78,1.0,63.2,84.2,89.5,75.8,-9.3,19
"1818-Reever-St,-Arlington,-TX-76010","1818 Reever St, Arlington, TX 76010",76010,Single Family,Standard,4,2,1987.0,7013,1953.0,239900.0,211.0,120.73,0.2833,1.0,0.0,0.0,96.2,92.3,0.0,75.6,-38.4,26
"2315-Blue-Sage-Ln,-Arlington,-TX-76014","2315 Blue Sage Ln, Arlington, TX 76014",76014,Townhouse,Standard,2,1.5,1270.0,1873,1973.0,170000.0,162.0,133.86,0.6781,1.0,0.0,0.0,100.0,84.6,0.0,74.6,-22.4,13
"1606-Hawthorne-Dr,-Arlington,-TX-76012","1606 Hawthorne Dr, Arlington, TX 76012",76012,Single Family,Standard,3,2,1960.0,3920,1974.0,269900.0,180.0,137.7,0.5,1.0,0.0,0.0,90.0,87.5,12.5,73.6,-17.1,40
"4127-Cascade-Sky-Dr,-Arlington,-TX-76005","4127 Cascade Sky Dr, Arlington, TX 76005",76005,Townhouse,Standard,3,2.5,1981.0,3572,2014.0,392500.0,239.0,198.13,0.5546,1.0,0.0,0.0,89.7,94.9,0.0,73.6,-18.0,39
"5205-Vicksburg-Dr,-Arlington,-TX-76017","5205 Vicksburg Dr, Arlington, TX 76017",76017,Single Family,Standard,5,4,5420.0,10629,1990.0,815000.0,96.0,150.37,0.5099,3.0,-8.43,1.0,75.0,58.3,95.8,73.3,-11.2,48
"7601-Tin-Cup-Dr,-Arlington,-TX-76001","7601 Tin Cup Dr, Arlington, TX 76001",76001,Single Family,Standard,4,2.5,2845.0,7841,2001.0,399000.0,180.0,140.25,0.3628,1.0,0.0,0.0,87.0,94.4,3.7,73.0,-15.8,54
"2016-Westbain-Dr,-Arlington,-TX-76015","2016 Westbain Dr, Arlington, TX 76015",76015,Townhouse,Standard,3,2,1400.0,2875,1973.0,213000.0,257.0,152.14,0.487,1.0,0.0,0.0,87.5,87.5,12.5,72.5,-10.2,8
"1822-E-Cedar-Elm-Dr,-Arlington,-TX-76012","1822 E Cedar Elm Dr, Arlington, TX 76012",76012,Single Family,Standard,3,2,2085.0,10977,1969.0,280000.0,152.0,134.29,0.1899,1.0,0.0,0.0,92.5,80.0,12.5,72.1,-19.2,40
