id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"6221-Muller-Creek-Dr,-Celina,-TX-75009","6221 Muller Creek Dr, Celina, TX 75009",75009,Single Family,Standard,5,3.5,3487,6011,2023,600000,330,172.07,0.5801,2,-11.76,1
"6202-Private-Rd,-902,-Celina,-TX-75009","6202 Private Rd, 902, Celina, TX 75009",75009,Single Family,Standard,3,3,1807,233002,2000,1500000,310,830.11,0.0078,2,0.0,0
"6015-Liverpool-St,-Celina,-TX-76227","6015 Liverpool St, Celina, TX 76227",76227,Single Family,Standard,4,3.5,3214,6882,2020,519990,301,161.79,0.467,4,-22.96,3
"3908-Keya-Dr,-Celina,-TX-75078","3908 Keya Dr, Celina, TX 75078",75078,Townhouse,New Construction,3,2.5,2158,1999,2025,414990,288,192.3,1.0795,1,0.0,0
"5029-Salinger-Dr,-Celina,-TX-76227","5029 Salinger Dr, Celina, TX 76227",76227,Single Family,Standard,4,2.5,2269,5750,2021,359900,226,158.62,0.3946,2,-7.69,1
"6323-Everest-Dr,-Celina,-TX-75009","6323 Everest Dr, Celina, TX 75009",75009,Single Family,Standard,5,3.5,3592,7144,2024,699900,210,194.85,0.5028,1,0.0,0
"5526-Burford-Ln,-Celina,-TX-76227","5526 Burford Ln, Celina, TX 76227",76227,Single Family,New Construction,4,4,3493,6125,2026,619950,226,177.48,0.5703,1,0.0,0
"16500-Sunnyland-Dr,-Celina,-TX-75009","16500 Sunnyland Dr, Celina, TX 75009",75009,Single Family,Standard,4,2.5,2509,7405,2021,445000,201,177.36,0.3388,1,0.0,0
"3237-Vaquero-Ln,-Celina,-TX-75009","3237 Vaquero Ln, Celina, TX 75009",75009,Townhouse,New Construction,3,2.5,2454,2905,2026,499990,100,203.74,0.8448,1,0.0,0
"2829-Geunine-Risk-Ct,-Celina,-TX-75009","2829 Geunine Risk Ct, Celina, TX 75009",75009,Single Family,New Construction,5,4,3192,6011,2026,749286,102,234.74,0.531,1,0.0,0
"2829-Quarter-Horse-Ln,-Celina,-TX-75009","2829 Quarter Horse Ln, Celina, TX 75009",75009,Single Family,Standard,4,2,1941,7841,2006,389999,101,200.93,0.2475,1,0.0,0
