id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,age,logLot,predictedPrice,residual,residualPct
"9641-Country-Ln,-Celina,-TX-75009","9641 Country Ln, Celina, TX 75009",75009,Single Family,Standard,4,1.5,1887,108900.0,1985.0,424800,68,225.12,0.0173,1,0.0,0,41.0,11.598185308921051,662825.0,238025.0,35.9
"4229-Rainwater-Creek-Way,-Celina,-TX-75078","4229 Rainwater Creek Way, Celina, TX 75078",75078,Single Family,Standard,5,4.5,4384,9235.0,2017.0,650000,92,148.27,0.4747,1,0.0,0,9.0,9.13075589263334,953368.0,303368.0,31.8
"2513-Fairweather-Dr,-Celina,-TX-75009","2513 Fairweather Dr, Celina, TX 75009",75009,Single Family,New Construction,4,3.0,1958,7841.0,2026.0,321490,14,164.19,0.2497,1,0.0,0,0.0,8.967121656230923,469430.0,147940.0,31.5
"2011-Lariat-Trl,-Celina,-TX-75009","2011 Lariat Trl, Celina, TX 75009",75009,Single Family,Standard,5,5.5,5414,47306.0,2007.0,1249000,75,230.7,0.1144,1,0.0,0,19.0,10.764392416329548,1787487.0,538487.0,30.1
"309-S-Louisiana-St,-Celina,-TX-75009","309 S Louisiana St, Celina, TX 75009",75009,Single Family,Standard,3,3.0,1500,5924.0,1995.0,289000,48,192.67,0.2532,7,-27.57,5,31.0,8.68676717538769,397854.0,108854.0,27.4
"2838-Saddlebred-Trl,-Celina,-TX-75009","2838 Saddlebred Trl, Celina, TX 75009",75009,Single Family,Standard,4,3.0,2928,6970.0,2006.0,410000,75,140.03,0.4201,1,0.0,0,20.0,8.84937050375457,552996.0,142996.0,25.9
"1822-Spearmint-St,-Celina,-TX-75009","1822 Spearmint St, Celina, TX 75009",75009,Single Family,New Construction,5,5.5,3429,6621.0,2026.0,595664,64,173.71,0.5179,1,0.0,0,0.0,8.798001694924846,803021.0,207357.0,25.8
"326-Equine-Ln,-Celina,-TX-75009","326 Equine Ln, Celina, TX 75009",75009,Single Family,Standard,5,3.5,3656,8102.0,2009.0,519900,56,142.2,0.4512,1,0.0,0,17.0,8.999866223762636,699511.0,179611.0,25.7
"1081-W-Sunset-Blvd,-Celina,-TX-75009","1081 W Sunset Blvd, Celina, TX 75009",75009,Single Family,Standard,4,3.0,2281,10846.0,2015.0,400000,68,175.36,0.2103,1,0.0,0,11.0,9.291551627401006,533230.0,133230.0,25.0
"525-Cork-Dr,-Celina,-TX-75009","525 Cork Dr, Celina, TX 75009",75009,Single Family,New Construction,5,5.5,3642,6011.0,2026.0,619990,43,170.23,0.6059,2,-6.77,1,0.0,8.701346403039162,822067.0,202077.0,24.6
"2509-Fairweather-Dr,-Celina,-TX-75009","2509 Fairweather Dr, Celina, TX 75009",75009,Single Family,New Construction,3,2.0,1586,7841.0,2026.0,295990,14,186.63,0.2023,1,0.0,0,0.0,8.967121656230923,390288.0,94298.0,24.2
"2516-Fairweather-Dr,-Celina,-TX-75009","2516 Fairweather Dr, Celina, TX 75009",75009,Single Family,New Construction,3,2.0,1537,7841.0,2026.0,293990,14,191.28,0.196,2,-2.0,1,0.0,8.967121656230923,386415.0,92425.0,23.9
"1932-Bristol-St,-Celina,-TX-75009","1932 Bristol St, Celina, TX 75009",75009,Single Family,Standard,4,4.0,3479,8364.0,2022.0,550000,22,158.09,0.4159,1,0.0,0,4.0,9.031692060548524,721579.0,171579.0,23.8
"1209-Stone-Ln,-Celina,-TX-75009","1209 Stone Ln, Celina, TX 75009",75009,Single Family,Standard,3,2.0,2492,13939.0,2004.0,399000,75,160.11,0.1788,1,0.0,0,22.0,9.542445945729886,522968.0,123968.0,23.7
