id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"6201-Cheshire-St,-Celina,-TX-76227","6201 Cheshire St, Celina, TX 76227",76227,Single Family,Standard,5,3.5,3273.0,6882,2020.0,475000.0,161.0,145.13,0.4756,3.0,-19.49,2.0,97.1,88.6,94.3,93.6,-15.3,35
"4542-Kipling-Ave,-Celina,-TX-76227","4542 Kipling Ave, Celina, TX 76227",76227,Single Family,Standard,4,3.5,3680.0,10846,2019.0,515000.0,134.0,139.95,0.3393,3.0,-16.26,2.0,100.0,82.9,88.6,91.7,-18.3,35
"6221-Muller-Creek-Dr,-Celina,-TX-75009","6221 Muller Creek Dr, Celina, TX 75009",75009,Single Family,Standard,5,3.5,3487.0,6011,2023.0,600000.0,330.0,172.07,0.5801,2.0,-11.76,1.0,85.4,99.7,88.7,91.1,-17.5,397
"16304-Garden-Dr,-Celina,-TX-75009","16304 Garden Dr, Celina, TX 75009",75009,Single Family,Standard,4,2.5,2757.0,6142,2022.0,500000.0,90.0,181.36,0.4489,3.0,-15.24,1.0,77.6,90.7,94.0,85.4,-13.0,397
"6101-Brunswick-Dr,-Celina,-TX-76227","6101 Brunswick Dr, Celina, TX 76227",76227,Single Family,Standard,4,3,2510.0,7928,2018.0,374900.0,123.0,149.36,0.3166,2.0,-14.41,1.0,88.6,80.0,82.9,84.4,-12.8,35
"2724-Driftwood-Creek-Trl,-Celina,-TX-75078","2724 Driftwood Creek Trl, Celina, TX 75078",75078,Single Family,Standard,4,3,2737.0,7187,2016.0,519900.0,91.0,189.95,0.3808,4.0,-13.34,3.0,83.3,76.2,97.6,83.7,-9.6,42
"6015-Liverpool-St,-Celina,-TX-76227","6015 Liverpool St, Celina, TX 76227",76227,Single Family,Standard,4,3.5,3214.0,6882,2020.0,519990.0,301.0,161.79,0.467,4.0,-22.96,3.0,65.7,97.1,97.1,83.0,-5.5,35
"536-Stark-Mews,-Celina,-TX-75009","536 Stark Mews, Celina, TX 75009",75009,Single Family,New Construction,4,3.5,3080.0,5489,2025.0,524990.0,74.0,170.45,0.5611,2.0,-4.55,1.0,86.9,80.6,77.1,82.7,-18.3,397
"6145-Tahoe-Winds-Dr,-Celina,-TX-75009","6145 Tahoe Winds Dr, Celina, TX 75009",75009,Single Family,Standard,4,3,2136.0,5750,2024.0,399000.0,88.0,186.8,0.3715,2.0,-16.0,1.0,72.5,88.7,94.5,82.6,-10.4,397
"402-Andalusian-Trl,-Celina,-TX-75009","402 Andalusian Trl, Celina, TX 75009",75009,Single Family,Standard,4,2,1833.0,7013,2014.0,339000.0,90.0,184.94,0.2614,2.0,-3.14,1.0,75.1,90.7,74.3,80.4,-11.3,397
"5029-Salinger-Dr,-Celina,-TX-76227","5029 Salinger Dr, Celina, TX 76227",76227,Single Family,Standard,4,2.5,2269.0,5750,2021.0,359900.0,226.0,158.62,0.3946,2.0,-7.69,1.0,74.3,91.4,71.4,79.7,-7.4,35
"1328-Missouri-St,-Celina,-TX-75009","1328 Missouri St, Celina, TX 75009",75009,Single Family,Standard,4,2.5,3115.0,7841,2003.0,440000.0,96.0,141.25,0.3973,1.0,0.0,0.0,99.5,92.7,11.6,79.5,-32.3,397
"16529-Hidden-Cove-Dr,-Celina,-TX-75009","16529 Hidden Cove Dr, Celina, TX 75009",75009,Single Family,Standard,4,2.5,2812.0,6159,2022.0,550000.0,167.0,195.59,0.4566,2.0,-7.56,1.0,63.2,98.7,81.6,79.3,-6.2,397
"1700-Bird-Cherry-Ln,-Celina,-TX-75078","1700 Bird Cherry Ln, Celina, TX 75078",75078,Single Family,Standard,4,3,2867.0,6229,2020.0,561000.0,90.0,195.67,0.4603,3.0,-12.34,2.0,76.2,73.8,95.2,79.2,-6.9,42
"2036-Aldrich-Mews,-Celina,-TX-75009","2036 Aldrich Mews, Celina, TX 75009",75009,Townhouse,New Construction,3,2.5,1888.0,2483,2026.0,339900.0,61.0,180.03,0.7604,2.0,-13.3,1.0,78.6,71.5,91.4,78.7,-13.7,397
"2455-Lusitano-Ln,-Celina,-TX-75009","2455 Lusitano Ln, Celina, TX 75009",75009,Single Family,Standard,6,4,4021.0,8886,2018.0,625000.0,35.0,155.43,0.4525,2.0,-8.09,1.0,97.5,52.1,82.6,78.6,-25.5,397
"1808-Emilia-Dr,-Celina,-TX-75009","1808 Emilia Dr, Celina, TX 75009",75009,Single Family,Standard,4,3,2401.0,4400,2020.0,449000.0,77.0,187.01,0.5457,2.0,-8.37,1.0,72.3,83.6,83.4,78.5,-10.3,397
"1800-Sangallo-Ln,-Celina,-TX-75009","1800 Sangallo Ln, Celina, TX 75009",75009,Single Family,New Construction,5,3,2809.0,4199,2026.0,499990.0,51.0,178.0,0.669,3.0,-16.24,2.0,80.6,63.5,95.2,77.5,-14.6,397
"1918-Rhea-Ct,-Celina,-TX-75009","1918 Rhea Ct, Celina, TX 75009",75009,Single Family,Standard,4,2.5,2337.0,7231,2022.0,450000.0,79.0,192.55,0.3232,2.0,-10.0,1.0,66.5,85.1,86.4,77.0,-7.7,397
"1905-Edgewater-St,-Celina,-TX-75009","1905 Edgewater St, Celina, TX 75009",75009,Single Family,Standard,5,4,3596.0,6621,2023.0,599990.0,98.0,166.85,0.5431,1.0,0.0,0.0,90.9,95.2,11.6,76.6,-20.0,397
