id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"4198-Peace-Dr,-Frisco,-TX-75034","4198 Peace Dr, Frisco, TX 75034",75034,Single Family,Standard,5,3.5,3870,8886,2002,785000,328,202.84,0.4355,1,0.0,0
"5113-Sandra-Dr,-Frisco,-TX-75036","5113 Sandra Dr, Frisco, TX 75036",75036,Single Family,Standard,4,2,1968,5532,2006,368500,316,187.25,0.3557,2,-6.59,1
"6445-Paragon-Dr,-Frisco,-TX-75036","6445 Paragon Dr, Frisco, TX 75036",75036,Single Family,Standard,2,2,1765,6316,2015,415000,330,235.13,0.2794,1,0.0,0
"1047-Courtland-Dr,-Frisco,-TX-75034","1047 Courtland Dr, Frisco, TX 75034",75034,Single Family,New Construction,5,6,8272,29891,2025,5790000,316,699.95,0.2767,1,0.0,0
"1699-Garrison-Dr,-Frisco,-TX-75033","1699 Garrison Dr, Frisco, TX 75033",75033,Single Family,Standard,4,2,1986,5750,2000,420000,256,211.48,0.3454,2,-4.54,1
"13630-Colony-Mews,-Frisco,-TX-75033","13630 Colony Mews, Frisco, TX 75033",75033,Single Family,Standard,4,3,2659,3920,2024,725000,238,272.66,0.6783,2,-6.63,1
"2004-Trent-Basin-Dr,-Frisco,-TX-75034","2004 Trent Basin Dr, Frisco, TX 75034",75034,Single Family,Standard,6,5,4800,8494,2024,1749000,235,364.38,0.5651,2,-6.72,1
"4511-Glen-Heather-Dr,-Frisco,-TX-75034","4511 Glen Heather Dr, Frisco, TX 75034",75034,Single Family,Standard,4,3,3505,10751,2000,770000,188,219.69,0.326,1,0.0,0
"4177-Roaring-Fork-Ln,-Frisco,-TX-75033","4177 Roaring Fork Ln, Frisco, TX 75033",75033,Single Family,Standard,4,4.5,5000,11718,2014,1549000,203,309.8,0.4267,1,0.0,0
"2652-Old-Hawkins-Ln,-Frisco,-TX-75033","2652 Old Hawkins Ln, Frisco, TX 75033",75033,Single Family,New Construction,5,3,3241,7161,2026,1290000,201,398.03,0.4526,1,0.0,0
"5095-Havasu-Dr,-Frisco,-TX-75036","5095 Havasu Dr, Frisco, TX 75036",75036,Single Family,Standard,3,2.5,3248,9453,2013,675000,200,207.82,0.3436,1,0.0,0
"1492-Troon-Dr,-Frisco,-TX-75036","1492 Troon Dr, Frisco, TX 75036",75036,Single Family,Standard,2,2,1533,5837,2010,345000,193,225.05,0.2626,1,0.0,0
