id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"12533-Tyler-Dr,-Frisco,-TX-75035","12533 Tyler Dr, Frisco, TX 75035",75035,Single Family,Standard,5,3.5,4231.0,8102,2013.0,725000.0,96.0,171.35,0.5222,2.0,-14.61,1.0,97.9,95.0,95.0,96.3,-24.3,141
"11722-Estacado-Dr,-Frisco,-TX-75033","11722 Estacado Dr, Frisco, TX 75033",75033,Single Family,Standard,5,4.5,4378.0,8581,2002.0,714000.0,151.0,163.09,0.5102,2.0,-14.9,1.0,99.2,89.9,97.7,95.7,-31.2,129
"3360-Country-Glen-Trl,-Frisco,-TX-75034","3360 Country Glen Trl, Frisco, TX 75034",75034,Single Family,Standard,5,4.5,4083.0,7405,2011.0,830000.0,143.0,203.28,0.5514,2.0,-16.88,1.0,90.9,91.9,98.0,92.7,-27.5,99
"5113-Sandra-Dr,-Frisco,-TX-75036","5113 Sandra Dr, Frisco, TX 75036",75036,Single Family,Standard,4,2,1968.0,5532,2006.0,368500.0,316.0,187.25,0.3557,2.0,-6.59,1.0,87.0,98.0,91.0,91.6,-18.7,100
"1519-San-Andres-Dr,-Frisco,-TX-75033","1519 San Andres Dr, Frisco, TX 75033",75033,Single Family,Standard,5,4.5,4378.0,8538,2003.0,810000.0,179.0,185.02,0.5128,2.0,-4.71,1.0,89.9,96.1,83.7,90.9,-22.0,129
"9103-Aristocrat-Ln,-Frisco,-TX-75033","9103 Aristocrat Ln, Frisco, TX 75033",75033,Single Family,Standard,4,2.5,2825.0,9496,2003.0,480000.0,126.0,169.91,0.2975,3.0,-9.43,2.0,96.1,82.9,93.0,90.9,-28.4,129
"9626-Lance-Dr,-Frisco,-TX-75035","9626 Lance Dr, Frisco, TX 75035",75035,Single Family,Standard,4,3.5,3024.0,7231,2011.0,589000.0,97.0,194.78,0.4182,3.0,-9.37,2.0,83.7,97.9,91.5,90.2,-14.0,141
"2100-Copperfield-Ct,-Frisco,-TX-75036","2100 Copperfield Ct, Frisco, TX 75036",75036,Single Family,Standard,4,3,4152.0,13024,1999.0,799000.0,169.0,192.44,0.3188,2.0,-8.68,1.0,83.0,93.0,96.0,89.1,-16.4,100
"9608-Ironwood-Dr,-Frisco,-TX-75033","9608 Ironwood Dr, Frisco, TX 75033",75033,Single Family,Standard,3,2.5,2793.0,2792,2006.0,550000.0,154.0,196.92,1.0004,2.0,-12.7,1.0,84.5,90.7,96.1,89.0,-17.0,129
"12744-Concho-Dr,-Frisco,-TX-75033","12744 Concho Dr, Frisco, TX 75033",75033,Single Family,Standard,5,3,3760.0,10542,2004.0,644900.0,117.0,171.52,0.3567,3.0,-7.74,2.0,94.6,79.1,91.5,88.5,-27.7,129
"1104-Churchill-Dr,-Frisco,-TX-75036","1104 Churchill Dr, Frisco, TX 75036",75036,Single Family,Standard,5,3,3177.0,7623,2002.0,540000.0,122.0,169.97,0.4168,3.0,-20.47,2.0,97.0,71.0,98.0,88.1,-26.2,100
"3250-Woodbine-Trl,-Frisco,-TX-75034","3250 Woodbine Trl, Frisco, TX 75034",75034,Single Family,Standard,4,3.5,4025.0,8015,2008.0,799000.0,101.0,198.51,0.5022,2.0,-3.48,1.0,94.9,76.8,84.8,86.6,-29.2,99
"11192-Progreso-St,-Frisco,-TX-75035","11192 Progreso St, Frisco, TX 75035",75035,Single Family,Standard,5,4,3943.0,8712,2016.0,795000.0,96.0,201.62,0.4526,3.0,-5.36,2.0,80.1,95.0,85.1,86.3,-11.0,141
"13081-Viola-Dr,-Frisco,-TX-75033","13081 Viola Dr, Frisco, TX 75033",75033,Single Family,Standard,5,4,3841.0,8494,2013.0,625000.0,95.0,162.72,0.4522,2.0,-7.41,1.0,100.0,63.6,90.7,85.4,-31.4,129
"13169-Courtney-Dr,-Frisco,-TX-75033","13169 Courtney Dr, Frisco, TX 75033",75033,Single Family,Standard,3,2,2287.0,6055,2010.0,485000.0,174.0,212.07,0.3777,2.0,-15.65,1.0,69.0,93.8,98.4,83.6,-10.6,129
"1699-Garrison-Dr,-Frisco,-TX-75033","1699 Garrison Dr, Frisco, TX 75033",75033,Single Family,Standard,4,2,1986.0,5750,2000.0,420000.0,256.0,211.48,0.3454,2.0,-4.54,1.0,69.8,99.2,81.4,82.4,-10.8,129
"12024-Clearpoint-Ct,-Frisco,-TX-75036","12024 Clearpoint Ct, Frisco, TX 75036",75036,Single Family,Standard,4,2,2018.0,12371,2016.0,399900.0,132.0,198.17,0.1631,2.0,-8.03,1.0,77.0,80.0,93.0,81.2,-14.0,100
"6411-Nottoway-Ct,-Frisco,-TX-75035","6411 Nottoway Ct, Frisco, TX 75035",75035,Single Family,Standard,3,2.5,2082.0,8712,1997.0,399000.0,76.0,191.64,0.239,3.0,-6.12,1.0,86.5,68.1,87.2,80.2,-15.4,141
"1165-Clearwater-Dr,-Frisco,-TX-75036","1165 Clearwater Dr, Frisco, TX 75036",75036,Single Family,Standard,5,4.5,5183.0,10280,2014.0,899000.0,82.0,173.45,0.5042,4.0,-28.08,3.0,96.0,48.0,99.0,79.8,-24.7,100
"6833-Cortona-Ln,-Frisco,-TX-75034","6833 Cortona Ln, Frisco, TX 75034",75034,Condo,Standard,2,2.5,1881.0,2614,2007.0,389900.0,84.0,207.28,0.7196,3.0,-13.34,2.0,85.9,61.6,97.0,79.6,-26.1,99
"6971-Mistley-Park,-Frisco,-TX-75034","6971 Mistley Park, Frisco, TX 75034",75034,Single Family,Standard,5,4,3512.0,7405,2020.0,875000.0,137.0,249.15,0.4743,2.0,-7.89,1.0,64.6,90.9,92.9,79.5,-11.2,99
"4657-Limerick-Ln,-Frisco,-TX-75034","4657 Limerick Ln, Frisco, TX 75034",75034,Single Family,Standard,4,3.5,4593.0,10324,2003.0,1099999.0,130.0,239.49,0.4449,2.0,-6.38,1.0,67.7,87.9,88.9,79.0,-14.6,99
"1219-Arbuckle-Dr,-Frisco,-TX-75033","1219 Arbuckle Dr, Frisco, TX 75033",75033,Single Family,Standard,4,3,2730.0,7667,2002.0,565000.0,142.0,206.96,0.3561,2.0,-3.4,1.0,73.6,85.3,79.1,78.8,-12.7,129
"4489-Mira-Vista-Dr,-Frisco,-TX-75034","4489 Mira Vista Dr, Frisco, TX 75034",75034,Single Family,Standard,5,4,4144.0,9060,2000.0,948000.0,100.0,228.76,0.4574,4.0,-20.27,2.0,71.7,75.8,99.0,78.6,-18.5,99
"13180-Mannheim-Dr,-Frisco,-TX-75033","13180 Mannheim Dr, Frisco, TX 75033",75033,Single Family,Standard,5,3.5,3615.0,8102,2003.0,594500.0,89.0,164.45,0.4462,3.0,-0.92,1.0,97.7,55.0,76.7,78.6,-30.7,129
"1901-Winchester-Dr,-Frisco,-TX-75033","1901 Winchester Dr, Frisco, TX 75033",75033,Single Family,Standard,4,3.5,3314.0,10454,1999.0,600300.0,87.0,181.14,0.317,2.0,-9.73,1.0,91.5,51.9,94.6,78.3,-23.6,129
"4198-Peace-Dr,-Frisco,-TX-75034","4198 Peace Dr, Frisco, TX 75034",75034,Single Family,Standard,5,3.5,3870.0,8886,2002.0,785000.0,328.0,202.84,0.4355,1.0,0.0,0.0,91.9,99.0,8.1,77.6,-27.7,99
"7931-Greenvalley-Ln,-Frisco,-TX-75033","7931 Greenvalley Ln, Frisco, TX 75033",75033,Single Family,Standard,4,3,2891.0,8716,2001.0,564900.0,95.0,195.4,0.3317,2.0,-4.25,1.0,86.0,63.6,79.8,76.9,-17.6,129
"4308-Coney-Island-Dr,-Frisco,-TX-75036","4308 Coney Island Dr, Frisco, TX 75036",75036,Single Family,Standard,4,2,1777.0,5663,2011.0,360000.0,124.0,202.59,0.3138,2.0,-5.88,1.0,74.0,73.0,90.0,76.8,-12.0,100
"1128-Patch-Grove-Dr,-Frisco,-TX-75033","1128 Patch Grove Dr, Frisco, TX 75033",75033,Single Family,Standard,5,3,2992.0,8364,2007.0,490000.0,159.0,163.77,0.3577,1.0,0.0,0.0,98.4,91.5,2.3,76.8,-30.9,129
"5871-Rivendell-Dr,-Frisco,-TX-75035","5871 Rivendell Dr, Frisco, TX 75035",75035,Townhouse,Standard,4,3,2160.0,2483,2019.0,450000.0,86.0,208.33,0.8699,2.0,-7.22,1.0,69.5,78.0,88.7,76.3,-8.0,141
"14044-Paterno-Dr,-Frisco,-TX-75035","14044 Paterno Dr, Frisco, TX 75035",75035,Single Family,Standard,5,4,4342.0,9975,2012.0,825000.0,66.0,190.0,0.4353,2.0,-14.94,1.0,89.4,46.8,95.7,75.7,-16.1,141
"12471-Hawk-Creek-Dr,-Frisco,-TX-75033","12471 Hawk Creek Dr, Frisco, TX 75033",75033,Single Family,Standard,4,3,3148.0,6316,2003.0,524999.0,81.0,166.77,0.4984,2.0,-4.55,1.0,96.9,44.2,82.2,75.5,-29.7,129
"10051-Plainsman-Ln,-Frisco,-TX-75035","10051 Plainsman Ln, Frisco, TX 75035",75035,Single Family,Standard,4,3,3533.0,7841,2005.0,699900.0,71.0,198.1,0.4506,3.0,-4.1,1.0,82.3,58.9,83.0,74.2,-12.5,141
"9829-Sharps-Dr,-Frisco,-TX-75035","9829 Sharps Dr, Frisco, TX 75035",75035,Single Family,Standard,4,3.5,3412.0,7200,2018.0,749000.0,89.0,219.52,0.4739,2.0,-10.73,1.0,56.7,85.1,92.9,73.9,-3.1,141
"12454-Jack-Pine-Ct,-Frisco,-TX-75035","12454 Jack Pine Ct, Frisco, TX 75035",75035,Single Family,Standard,4,3.5,4189.0,7405,2007.0,730000.0,89.0,174.27,0.5657,1.0,0.0,0.0,96.5,85.1,2.1,73.6,-23.1,141
"5212-Bluewater-Dr,-Frisco,-TX-75036","5212 Bluewater Dr, Frisco, TX 75036",75036,Single Family,Standard,5,3.5,2967.0,7144,2012.0,475000.0,139.0,160.09,0.4153,1.0,0.0,0.0,98.0,83.0,0.0,73.2,-30.5,100
"7469-Bryce-Canyon-Dr,-Frisco,-TX-75035","7469 Bryce Canyon Dr, Frisco, TX 75035",75035,Single Family,Standard,4,3.5,3768.0,7405,2012.0,760000.0,67.0,201.7,0.5088,3.0,-20.67,2.0,79.4,50.4,98.6,73.1,-10.9,141
"11758-Corsicana-Dr,-Frisco,-TX-75035","11758 Corsicana Dr, Frisco, TX 75035",75035,Single Family,Standard,3,2,1990.0,7841,2004.0,409900.0,80.0,205.98,0.2538,2.0,-0.02,1.0,73.0,70.9,76.6,73.0,-9.1,141
