id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"5526-Lehigh-St,-Lubbock,-TX-79416","5526 Lehigh St, Lubbock, TX 79416",79416,Townhouse,Standard,2,2,1407,3049,2021,185000,333,131.49,0.4615,1,0.0,0
"5227-Lehigh-St,-Lubbock,-TX-79416","5227 Lehigh St, Lubbock, TX 79416",79416,Single Family,Standard,3,2,1774,6534,2016,282800,325,159.41,0.2715,3,-2.48,2
"2615-113th-St,-Lubbock,-TX-79423","2615 113th St, Lubbock, TX 79423",79423,Townhouse,Standard,2,2,1459,4792,2016,187500,343,128.51,0.3045,2,-1.32,1
"5303-Lehigh-St,-Lubbock,-TX-79416","5303 Lehigh St, Lubbock, TX 79416",79416,Single Family,Standard,4,2,2171,6534,2018,295000,334,135.88,0.3323,1,0.0,0
"2911-135th-St,-Lubbock,-TX-79423","2911 135th St, Lubbock, TX 79423",79423,Single Family,New Construction,4,2,2165,6970,2025,353000,347,163.05,0.3106,1,0.0,0
"3511-105th-St,-Lubbock,-TX-79423","3511 105th St, Lubbock, TX 79423",79423,Single Family,Standard,3,2,1741,7405,1998,269900,348,155.03,0.2351,1,0.0,0
"7012-12th-St,-Lubbock,-TX-79416","7012 12th St, Lubbock, TX 79416",79416,Single Family,Standard,4,2,1613,5663,2022,249500,341,154.68,0.2848,3,-3.85,2
"2812-Emory-St,-Lubbock,-TX-79415","2812 Emory St, Lubbock, TX 79415",79415,Single Family,Standard,2,1,720,6970,1943,35000,339,48.61,0.1033,1,0.0,0
"2414-Baylor-St,-Lubbock,-TX-79415","2414 Baylor St, Lubbock, TX 79415",79415,Single Family,Standard,1,1,792,8102,1929,69999,250,88.38,0.0978,1,0.0,0
"4909-116th-St,-Lubbock,-TX-79424","4909 116th St, Lubbock, TX 79424",79424,Single Family,Standard,4,4.5,4676,11326,2021,1299000,312,277.8,0.4129,1,0.0,0
"4217-E-63rd-St,-Lubbock,-TX-79403","4217 E 63rd St, Lubbock, TX 79403",79403,Single Family,Standard,3,2.5,1205,7405,1953,158000,306,131.12,0.1627,1,0.0,0
"4616-143rd-St,-Lubbock,-TX-79424","4616 143rd St, Lubbock, TX 79424",79424,Single Family,New Construction,4,4,3205,9583,2025,764999,304,238.69,0.3344,1,0.0,0
"8305-4th-St,-Lubbock,-TX-79416","8305 4th St, Lubbock, TX 79416",79416,Single Family,Standard,3,2,1927,213880,1968,299950,299,155.66,0.009,1,0.0,0
"1912-20th-St,-Lubbock,-TX-79411","1912 20th St, Lubbock, TX 79411",79411,Single Family,Standard,4,3,1990,8276,1936,170000,294,85.43,0.2405,1,0.0,0
"1012-David-Ave,-Lubbock,-TX-79403","1012 David Ave, Lubbock, TX 79403",79403,Single Family,Standard,3,2,1172,7405,2020,110000,291,93.86,0.1583,2,-6.78,1
"2507-31st-St,-Lubbock,-TX-79410","2507 31st St, Lubbock, TX 79410",79410,Single Family,Standard,3,3,1381,8276,1947,200000,291,144.82,0.1669,1,0.0,0
"3517-30th-St,-Lubbock,-TX-79410","3517 30th St, Lubbock, TX 79410",79410,Single Family,Standard,3,2,1824,7841,1990,173000,291,94.85,0.2326,1,0.0,0
"3819-33rd-St,-Lubbock,-TX-79410","3819 33rd St, Lubbock, TX 79410",79410,Single Family,Standard,3,3,1431,7841,1952,171000,291,119.5,0.1825,1,0.0,0
"5028-Itasca-St,-Lubbock,-TX-79416","5028 Itasca St, Lubbock, TX 79416",79416,Single Family,Standard,4,3.5,2526,8276,2007,280000,287,110.85,0.3052,2,-3.45,1
"3912-100th-Pl,-Lubbock,-TX-79423","3912 100th Pl, Lubbock, TX 79423",79423,Single Family,Standard,4,3,3207,7841,2005,515000,286,160.59,0.409,1,0.0,0
"5924-Erskine-St,-Lubbock,-TX-79416","5924 Erskine St, Lubbock, TX 79416",79416,Single Family,Standard,3,2.5,3407,696960,1996,2500000,279,733.78,0.0049,1,0.0,0
"1904-28th-St,-Lubbock,-TX-79411","1904 28th St, Lubbock, TX 79411",79411,Single Family,Standard,4,3,1944,8276,1940,269000,263,138.37,0.2349,2,-2.15,1
"5503-9th-St,-Lubbock,-TX-79416","5503 9th St, Lubbock, TX 79416",79416,Single Family,Standard,4,2,2396,6970,1966,239900,255,100.13,0.3438,3,-11.12,2
"2221-39th-St,-Lubbock,-TX-79412","2221 39th St, Lubbock, TX 79412",79412,Single Family,Standard,4,2,2029,6534,1952,159900,252,78.81,0.3105,3,-23.82,1
"2210-26th-St,-Lubbock,-TX-79411","2210 26th St, Lubbock, TX 79411",79411,Single Family,Standard,2,1,880,6970,1939,98000,247,111.36,0.1263,1,0.0,0
"4613-138th-Pl,-Lubbock,-TX-79424","4613 138th Pl, Lubbock, TX 79424",79424,Single Family,New Construction,4,3,2225,7405,2025,484900,244,217.93,0.3005,1,0.0,0
"2624-Tiffin-Ave,-Lubbock,-TX-79407","2624 Tiffin Ave, Lubbock, TX 79407",79407,Single Family,Standard,3,2,1455,5097,2023,175000,242,120.27,0.2855,1,0.0,0
"5106-97th-St,-Lubbock,-TX-79424","5106 97th St, Lubbock, TX 79424",79424,Single Family,Standard,4,3.5,3729,10890,1996,519900,231,139.42,0.3424,1,0.0,0
"2101-48th-St,-Lubbock,-TX-79412","2101 48th St, Lubbock, TX 79412",79412,Single Family,Standard,3,2,1263,7405,1956,147500,231,116.79,0.1706,1,0.0,0
"2119-26th-St,-Lubbock,-TX-79411","2119 26th St, Lubbock, TX 79411",79411,Single Family,Standard,3,1,1032,6970,1929,45000,202,43.6,0.1481,2,-30.77,1
"7801-56th-St,-Lubbock,-TX-79407","7801 56th St, Lubbock, TX 79407",79407,Single Family,New Construction,5,3,2916,7405,2023,529900,235,181.72,0.3938,2,-0.95,1
"1511-36th-St,-Lubbock,-TX-79412","1511 36th St, Lubbock, TX 79412",79412,Single Family,Standard,2,1,1017,7841,1951,109000,216,107.18,0.1297,1,0.0,0
"3914-137th-St,-Lubbock,-TX-79423","3914 137th St, Lubbock, TX 79423",79423,Single Family,Standard,4,3,2517,10019,2016,482500,235,191.7,0.2512,2,9.66,0
"306-52nd-St,-Lubbock,-TX-79404","306 52nd St, Lubbock, TX 79404",79404,Single Family,Standard,3,1,1274,6970,1964,98980,231,77.69,0.1828,1,0.0,0
"1614-56th-St,-Lubbock,-TX-79412","1614 56th St, Lubbock, TX 79412",79412,Single Family,Standard,3,2,2188,9583,1962,220000,208,100.55,0.2283,1,0.0,0
"4214-64th-St,-Lubbock,-TX-79413","4214 64th St, Lubbock, TX 79413",79413,Single Family,Standard,3,2,2555,7841,1967,329500,207,128.96,0.3259,3,-1.79,1
"2003-County-Rd,-7820,-Lubbock,-TX-79423","2003 County Rd, 7820, Lubbock, TX 79423",79423,Single Family,New Construction,4,3,2267,43560,2026,514950,201,227.15,0.052,1,0.0,0
"7107-23rd-St,-Lubbock,-TX-79407","7107 23rd St, Lubbock, TX 79407",79407,Single Family,Standard,4,2,1652,6534,2022,285000,219,172.52,0.2528,1,0.0,0
"2112-58th-St,-Lubbock,-TX-79412","2112 58th St, Lubbock, TX 79412",79412,Single Family,Standard,4,2,1764,7405,1959,175000,220,99.21,0.2382,1,0.0,0
"2103-County-Rd,-7820,-Lubbock,-TX-79423","2103 County Rd, 7820, Lubbock, TX 79423",79423,Single Family,New Construction,4,3,2458,43560,2026,543218,201,221.0,0.0564,2,735.72,0
"19210-County-Rd,-2240,-Lubbock,-TX-79423","19210 County Rd, 2240, Lubbock, TX 79423",79423,Single Family,Standard,4,3,2692,54886,2022,579000,186,215.08,0.049,3,-7.36,2
"9203-Grover-Ave,-Lubbock,-TX-79424","9203 Grover Ave, Lubbock, TX 79424",79424,Single Family,Standard,4,3,2985,8276,2005,454000,219,152.09,0.3607,1,0.0,0
"3603-143rd-St,-Lubbock,-TX-79423","3603 143rd St, Lubbock, TX 79423",79423,Single Family,New Construction,4,3.5,2320,8712,2025,455000,219,196.12,0.2663,2,-8.63,1
"4609-County-Rd,-7900,-Lubbock,-TX-79424","4609 County Rd, 7900, Lubbock, TX 79424",79424,Single Family,New Construction,7,5.5,5064,436036,2026,985600,209,194.63,0.0116,1,0.0,0
"5504-110th-St,-Lubbock,-TX-79424","5504 110th St, Lubbock, TX 79424",79424,Single Family,Standard,3,2,1662,4792,2013,219000,189,131.77,0.3468,3,-4.78,1
"3118-113th-St,-Lubbock,-TX-79423","3118 113th St, Lubbock, TX 79423",79423,Townhouse,Standard,3,2,1602,3920,2014,186000,200,116.1,0.4087,1,0.0,0
"2508-108th-Dr,-Lubbock,-TX-79423","2508 108th Dr, Lubbock, TX 79423",79423,Single Family,Standard,3,2,1266,5227,2002,189000,208,149.29,0.2422,1,0.0,0
"3421-E-Bates-St,-Lubbock,-TX-79403","3421 E Bates St, Lubbock, TX 79403",79403,Single Family,Standard,3,2.5,1156,7841,2021,110000,196,95.16,0.1474,2,-4.35,1
"12205-Norfolk-Ave,-Lubbock,-TX-79423","12205 Norfolk Ave, Lubbock, TX 79423",79423,Single Family,Standard,3,2,2032,8276,2016,349500,207,172.0,0.2455,3,-11.07,2
"6928-12th-St,-Lubbock,-TX-79416","6928 12th St, Lubbock, TX 79416",79416,Single Family,New Construction,4,3,1833,6098,2025,294950,204,160.91,0.3006,1,0.0,0
"3513-45th-St,-Lubbock,-TX-79413","3513 45th St, Lubbock, TX 79413",79413,Single Family,Standard,4,3,2809,13068,1956,380000,187,135.28,0.215,2,15.15,0
"2601-25th-St,-Lubbock,-TX-79410","2601 25th St, Lubbock, TX 79410",79410,Single Family,Standard,3,2,2023,7841,1940,620000,187,306.48,0.258,1,0.0,0
"5513-104th-St,-Lubbock,-TX-79424","5513 104th St, Lubbock, TX 79424",79424,Single Family,Standard,4,2,2007,8276,2008,308500,198,153.71,0.2425,1,0.0,0
"4225-County-Rd,-1200,-Lubbock,-TX-79407","4225 County Rd, 1200, Lubbock, TX 79407",79407,Single Family,Standard,4,2.5,2880,872071,2014,589900,194,204.83,0.0033,1,0.0,0
"521-46th-St,-Lubbock,-TX-79404","521 46th St, Lubbock, TX 79404",79404,Single Family,Standard,3,1,808,6534,1970,59000,189,73.02,0.1237,2,0.0,0
"7513-103rd-St,-Lubbock,-TX-79424","7513 103rd St, Lubbock, TX 79424",79424,Single Family,Standard,3,2,1350,6098,2018,205000,189,151.85,0.2214,2,0.0,0
"1633-139th-St,-Lubbock,-TX-79423","1633 139th St, Lubbock, TX 79423",79423,Single Family,Standard,3,2,1200,4356,2020,180000,186,150.0,0.2755,1,0.0,0
"2906-Ute-Ave,-Lubbock,-TX-79404","2906 Ute Ave, Lubbock, TX 79404",79404,Single Family,Standard,3,2,1400,6098,1959,125000,167,89.29,0.2296,1,0.0,0
"5006-Jarvis-St,-Lubbock,-TX-79416","5006 Jarvis St, Lubbock, TX 79416",79416,Single Family,Standard,3,2,1531,7405,2013,238000,183,155.45,0.2068,3,-4.8,1
"3722-Prentiss-Ave,-Lubbock,-TX-79407","3722 Prentiss Ave, Lubbock, TX 79407",79407,Single Family,Standard,3,2,1712,5227,2020,227000,181,132.59,0.3275,1,0.0,0
"5615-Kemper-St,-Lubbock,-TX-79416","5615 Kemper St, Lubbock, TX 79416",79416,Townhouse,Standard,3,2,1419,5663,2021,198000,181,139.53,0.2506,1,0.0,0
"5613-Kemper-St,-Lubbock,-TX-79416","5613 Kemper St, Lubbock, TX 79416",79416,Townhouse,Standard,2,2,1400,3485,2021,179000,181,127.86,0.4017,1,0.0,0
"5532-Kemper-St,-Lubbock,-TX-79416","5532 Kemper St, Lubbock, TX 79416",79416,Townhouse,Standard,2,2,1408,3049,2022,192900,180,137.0,0.4618,2,0.0,0
"7809-52nd-St,-Lubbock,-TX-79407","7809 52nd St, Lubbock, TX 79407",79407,Single Family,Standard,4,3,2100,7000,2022,379900,179,180.9,0.3,1,0.0,0
"3104-113th-St,-Lubbock,-TX-79423","3104 113th St, Lubbock, TX 79423",79423,Townhouse,Standard,3,2,1602,3920,2014,207000,178,129.21,0.4087,1,0.0,0
"6705-84th-St,-Lubbock,-TX-79424","6705 84th St, Lubbock, TX 79424",79424,Single Family,Standard,3,2,1296,5227,2008,190000,178,146.6,0.2479,1,0.0,0
"2309-101st-St,-Lubbock,-TX-79423","2309 101st St, Lubbock, TX 79423",79423,Single Family,Standard,4,2,2340,6970,2009,294500,177,125.85,0.3357,2,-9.38,1
"1705-Ave-S,-Lubbock,-TX-79401","1705 Ave S, Lubbock, TX 79401",79401,Single Family,Standard,2,1,725,8276,1940,58000,176,80.0,0.0876,1,0.0,0
"5704-Geneva-Ave,-Lubbock,-TX-79413","5704 Geneva Ave, Lubbock, TX 79413",79413,Single Family,Standard,4,3,2451,10454,1962,262500,176,107.1,0.2345,1,0.0,0
"2011-37th-St,-Lubbock,-TX-79412","2011 37th St, Lubbock, TX 79412",79412,Single Family,Standard,2,1,827,7405,1957,82000,174,99.15,0.1117,1,0.0,0
"2209-E-29th-St,-Lubbock,-TX-79404","2209 E 29th St, Lubbock, TX 79404",79404,Single Family,Standard,3,1,1152,6534,1957,94000,174,81.6,0.1763,1,0.0,0
"1826-E-25th-St,-Lubbock,-TX-79404","1826 E 25th St, Lubbock, TX 79404",79404,Single Family,Standard,2,1,829,6970,1955,79500,174,95.9,0.1189,1,0.0,0
"2403-Fir-Ave,-Lubbock,-TX-79404","2403 Fir Ave, Lubbock, TX 79404",79404,Single Family,Standard,2,1,1024,6970,1958,65000,174,63.48,0.1469,1,0.0,0
"12102-Savannah-Ave,-Lubbock,-TX-79424","12102 Savannah Ave, Lubbock, TX 79424",79424,Townhouse,Standard,3,2.5,1779,3920,2022,329999,173,185.5,0.4538,1,0.0,0
"4705-Marshall-St,-Lubbock,-TX-79416","4705 Marshall St, Lubbock, TX 79416",79416,Single Family,Standard,3,2,1168,6098,1977,149000,173,127.57,0.1915,1,0.0,0
"6802-56th-St,-Lubbock,-TX-79407","6802 56th St, Lubbock, TX 79407",79407,Single Family,Standard,4,2,2050,6534,2023,352500,172,171.95,0.3137,1,0.0,0
"8601-Memphis-Dr,-Unit-C60,-Lubbock,-TX-79423","8601 Memphis Dr, Unit C60, Lubbock, TX 79423",79423,Single Family,Standard,2,2,1071,2178,1983,132500,171,123.72,0.4917,3,-5.36,2
"1916-71st-St,-Lubbock,-TX-79412","1916 71st St, Lubbock, TX 79412",79412,Single Family,Standard,3,2,1514,6970,1966,164000,168,108.32,0.2172,1,0.0,0
"2119-31st-St,-Lubbock,-TX-79411","2119 31st St, Lubbock, TX 79411",79411,Single Family,Standard,2,1,832,6970,1940,125000,167,150.24,0.1194,1,0.0,0
"2314-35th-St,-Lubbock,-TX-79412","2314 35th St, Lubbock, TX 79412",79412,Single Family,Standard,2,1,968,7405,1950,125000,167,129.13,0.1307,1,0.0,0
"5618-E-County-Rd,-6560,-Lubbock,-TX-79403","5618 E County Rd, 6560, Lubbock, TX 79403",79403,Single Family,Standard,2,2,1260,74488,1979,89999,163,71.43,0.0169,1,0.0,0
"1608-48th-St,-Lubbock,-TX-79412","1608 48th St, Lubbock, TX 79412",79412,Single Family,Standard,3,2,1616,6970,2016,195000,161,120.67,0.2319,1,0.0,0
"531-N-Juneau-Ave,-Lubbock,-TX-79416","531 N Juneau Ave, Lubbock, TX 79416",79416,Single Family,Standard,3,2,1582,5227,2004,179900,167,113.72,0.3027,1,0.0,0
