formattedAddress,zipCode,price,squareFootage,pricePerSqft,yearBuilt,daysOnMarket,flagReason
"2510 Ave K, Lubbock, TX 79411",79411,22000.0,1016.0,21.65,1943.0,90.0,ppsf 22 below floor 57 (zip median 95)
"607 Inler Ave, Lubbock, TX 79416",79416,30000.0,1054.0,28.46,1955.0,131.0,ppsf 28 below floor 82 (zip median 137)
"1503 27th St, Lubbock, TX 79411",79411,30000.0,872.0,34.4,1947.0,121.0,ppsf 34 below floor 57 (zip median 95)
"1921 Parkway Dr, Lubbock, TX 79403",79403,45000.0,1215.0,37.04,1959.0,92.0,ppsf 37 below floor 56 (zip median 94)
"2119 26th St, Lubbock, TX 79411",79411,45000.0,1032.0,43.6,1929.0,202.0,ppsf 44 below floor 57 (zip median 95)
"2009 46th St, Lubbock, TX 79412",79412,129000.0,2662.0,48.46,1952.0,138.0,ppsf 48 below floor 58 (zip median 97)
"2812 Emory St, Lubbock, TX 79415",79415,35000.0,720.0,48.61,1943.0,339.0,ppsf 49 below floor 75 (zip median 125)
"605 Inler Ave, Lubbock, TX 79416",79416,65000.0,1226.0,53.02,1955.0,131.0,ppsf 53 below floor 82 (zip median 137)
"6112 Ave Q, Lubbock, TX 79412",79412,70000.0,1319.0,53.07,1952.0,90.0,ppsf 53 below floor 58 (zip median 97)
"2819 Colgate St, Lubbock, TX 79415",79415,60000.0,1050.0,57.14,1932.0,98.0,ppsf 57 below floor 75 (zip median 125)
"2707 92nd St, Lubbock, TX 79423",79423,139000.0,1955.0,71.1,1973.0,89.0,ppsf 71 below floor 92 (zip median 153)
"5019 27th St, Lubbock, TX 79407",79407,165000.0,1979.0,83.38,1976.0,123.0,ppsf 83 below floor 95 (zip median 159)
"5310 24th St, Lubbock, TX 79407",79407,184500.0,2031.0,90.84,1961.0,123.0,ppsf 91 below floor 95 (zip median 159)
