id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,age,logLot,predictedPrice,residual,residualPct
"2510-Ave-K,-Lubbock,-TX-79411","2510 Ave K, Lubbock, TX 79411",79411,Single Family,Standard,2,1.0,1016,5227,1943,22000,90,21.65,0.1944,2,0.0,0,83,8.561592778712923,75367.0,53367.0,70.8
"607-Inler-Ave,-Lubbock,-TX-79416","607 Inler Ave, Lubbock, TX 79416",79416,Single Family,Standard,2,1.0,1054,13939,1955,30000,131,28.46,0.0756,1,0.0,0,71,9.542445945729886,102444.0,72444.0,70.7
"1503-27th-St,-Lubbock,-TX-79411","1503 27th St, Lubbock, TX 79411",79411,Single Family,Standard,3,2.0,872,6534,1947,30000,121,34.4,0.1335,1,0.0,0,79,8.784774592161016,70578.0,40578.0,57.5
"2009-46th-St,-Lubbock,-TX-79412","2009 46th St, Lubbock, TX 79412",79412,Single Family,Standard,4,2.0,2662,10019,1952,129000,138,48.46,0.2657,1,0.0,0,74,9.212238569259263,266399.0,137399.0,51.6
"1921-Parkway-Dr,-Lubbock,-TX-79403","1921 Parkway Dr, Lubbock, TX 79403",79403,Single Family,Standard,3,2.0,1215,6970,1959,45000,92,37.04,0.1743,1,0.0,0,67,8.84937050375457,91503.0,46503.0,50.8
"2812-Emory-St,-Lubbock,-TX-79415","2812 Emory St, Lubbock, TX 79415",79415,Single Family,Standard,2,1.0,720,6970,1943,35000,339,48.61,0.1033,1,0.0,0,83,8.84937050375457,70389.0,35389.0,50.3
"6903-Gary-Ave,-Lubbock,-TX-79413","6903 Gary Ave, Lubbock, TX 79413",79413,Single Family,Standard,5,3.0,3328,8712,1990,315000,166,94.65,0.382,1,0.0,0,36,9.072456664612796,591697.0,276697.0,46.8
"3517-30th-St,-Lubbock,-TX-79410","3517 30th St, Lubbock, TX 79410",79410,Single Family,Standard,3,2.0,1824,7841,1990,173000,291,94.85,0.2326,1,0.0,0,36,8.967121656230923,322875.0,149875.0,46.4
"605-Inler-Ave,-Lubbock,-TX-79416","605 Inler Ave, Lubbock, TX 79416",79416,Single Family,Standard,3,1.0,1226,13939,1955,65000,131,53.02,0.088,1,0.0,0,71,9.542445945729886,114445.0,49445.0,43.2
"6112-Ave-Q,-Lubbock,-TX-79412","6112 Ave Q, Lubbock, TX 79412",79412,Single Family,Standard,2,2.0,1319,7841,1952,70000,90,53.07,0.1682,2,-22.22,1,74,8.967121656230923,112171.0,42171.0,37.6
"2814-County-Rd,-7650,-Lubbock,-TX-79423","2814 County Rd, 7650, Lubbock, TX 79423",79423,Single Family,Standard,4,1.0,1739,43560,2015,160000,150,92.01,0.0399,2,14.29,0,11,10.681894577046897,254416.0,94416.0,37.1
"2707-92nd-St,-Lubbock,-TX-79423","2707 92nd St, Lubbock, TX 79423",79423,Single Family,Standard,4,2.0,1955,10019,1973,139000,89,71.1,0.1951,1,0.0,0,53,9.212238569259263,220003.0,81003.0,36.8
"5106-97th-St,-Lubbock,-TX-79424","5106 97th St, Lubbock, TX 79424",79424,Single Family,Standard,4,3.5,3729,10890,1996,519900,231,139.42,0.3424,1,0.0,0,30,9.295600215927006,819082.0,299182.0,36.5
