id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"2221-39th-St,-Lubbock,-TX-79412","2221 39th St, Lubbock, TX 79412",79412,Single Family,Standard,4,2,2029.0,6534,1952.0,159900.0,252.0,78.81,0.3105,3.0,-23.82,1.0,96.3,96.3,96.3,96.3,-20.5,27
"6533-86th-St,-Lubbock,-TX-79424","6533 86th St, Lubbock, TX 79424",79424,Single Family,Standard,3,2,1904.0,5663,2003.0,215000.0,164.0,112.92,0.3362,2.0,-6.52,1.0,100.0,72.9,95.8,89.7,-26.9,48
"5503-9th-St,-Lubbock,-TX-79416","5503 9th St, Lubbock, TX 79416",79416,Single Family,Standard,4,2,2396.0,6970,1966.0,239900.0,255.0,100.13,0.3438,3.0,-11.12,2.0,88.9,77.8,97.2,86.7,-27.4,36
"5202-20th-St,-Lubbock,-TX-79407","5202 20th St, Lubbock, TX 79407",79407,Single Family,Standard,3,2,2270.0,6970,1971.0,259950.0,140.0,114.52,0.3257,2.0,-11.88,1.0,96.9,65.6,93.8,85.3,-29.6,32
"5028-Itasca-St,-Lubbock,-TX-79416","5028 Itasca St, Lubbock, TX 79416",79416,Single Family,Standard,4,3.5,2526.0,8276,2007.0,280000.0,287.0,110.85,0.3052,2.0,-3.45,1.0,86.1,83.3,83.3,84.6,-19.6,36
"2615-113th-St,-Lubbock,-TX-79423","2615 113th St, Lubbock, TX 79423",79423,Townhouse,Standard,2,2,1459.0,4792,2016.0,187500.0,343.0,128.51,0.3045,2.0,-1.32,1.0,78.0,92.7,68.3,81.2,-17.1,41
"5504-110th-St,-Lubbock,-TX-79424","5504 110th St, Lubbock, TX 79424",79424,Single Family,Standard,3,2,1662.0,4792,2013.0,219000.0,189.0,131.77,0.3468,3.0,-4.78,1.0,70.8,81.2,87.5,77.8,-14.7,48
"2414-Baylor-St,-Lubbock,-TX-79415","2414 Baylor St, Lubbock, TX 79415",79415,Single Family,Standard,1,1,792.0,8102,1929.0,69999.0,250.0,88.38,0.0978,1.0,0.0,0.0,100.0,93.3,0.0,77.7,-31.8,15
"2309-101st-St,-Lubbock,-TX-79423","2309 101st St, Lubbock, TX 79423",79423,Single Family,Standard,4,2,2340.0,6970,2009.0,294500.0,177.0,125.85,0.3357,2.0,-9.38,1.0,82.9,63.4,90.2,77.6,-18.8,41
"2624-Tiffin-Ave,-Lubbock,-TX-79407","2624 Tiffin Ave, Lubbock, TX 79407",79407,Single Family,Standard,3,2,1455.0,5097,2023.0,175000.0,242.0,120.27,0.2855,1.0,0.0,0.0,93.8,96.9,6.2,77.3,-26.0,32
"2806-58th-St,-Lubbock,-TX-79413","2806 58th St, Lubbock, TX 79413",79413,Single Family,Standard,3,2,2260.0,8276,1957.0,202500.0,146.0,89.6,0.2731,2.0,-3.57,1.0,95.0,50.0,85.0,77.2,-19.6,20
"8601-Memphis-Dr,-Unit-C60,-Lubbock,-TX-79423","8601 Memphis Dr, Unit C60, Lubbock, TX 79423",79423,Single Family,Standard,2,2,1071.0,2178,1983.0,132500.0,171.0,123.72,0.4917,3.0,-5.36,2.0,85.4,61.0,78.0,75.4,-20.2,41
"504-81st-St,-Lubbock,-TX-79404","504 81st St, Lubbock, TX 79404",79404,Single Family,Standard,2,1,878.0,9148,1954.0,59000.0,139.0,67.2,0.096,2.0,-20.81,1.0,82.4,47.1,94.1,72.4,-17.6,17
"1012-David-Ave,-Lubbock,-TX-79403","1012 David Ave, Lubbock, TX 79403",79403,Single Family,Standard,3,2,1172.0,7405,2020.0,110000.0,291.0,93.86,0.1583,2.0,-6.78,1.0,56.2,87.5,81.2,72.2,-0.7,16
"1918-42nd-St,-Lubbock,-TX-79412","1918 42nd St, Lubbock, TX 79412",79412,Single Family,Standard,4,1,1880.0,8276,1964.0,149000.0,118.0,79.26,0.2272,3.0,-9.7,2.0,92.6,33.3,92.6,71.9,-20.1,27
"4518-49th-St,-Lubbock,-TX-79414","4518 49th St, Lubbock, TX 79414",79414,Single Family,Standard,3,2,1680.0,6970,1956.0,149950.0,136.0,89.26,0.241,2.0,-6.28,1.0,72.7,63.6,81.8,71.4,-15.8,11
"4913-40th-St,-Lubbock,-TX-79414","4913 40th St, Lubbock, TX 79414",79414,Single Family,Standard,3,1,1250.0,7841,1955.0,110000.0,131.0,88.0,0.1594,2.0,-9.09,1.0,81.8,45.5,90.9,70.9,-17.0,11
"3517-30th-St,-Lubbock,-TX-79410","3517 30th St, Lubbock, TX 79410",79410,Single Family,Standard,3,2,1824.0,7841,1990.0,173000.0,291.0,94.85,0.2326,1.0,0.0,0.0,100.0,72.7,0.0,70.5,-34.4,11
"2404-York-Ave,-Lubbock,-TX-79407","2404 York Ave, Lubbock, TX 79407",79407,Single Family,Standard,7,9,11373.0,73616,2000.0,1550000.0,129.0,136.29,0.1545,5.0,-22.5,3.0,71.9,53.1,96.9,70.3,-16.2,32
"1912-20th-St,-Lubbock,-TX-79411","1912 20th St, Lubbock, TX 79411",79411,Single Family,Standard,4,3,1990.0,8276,1936.0,170000.0,294.0,85.43,0.2405,1.0,0.0,0.0,87.5,87.5,0.0,70.0,-22.3,8
"2708-42nd-St,-Lubbock,-TX-79413","2708 42nd St, Lubbock, TX 79413",79413,Single Family,Standard,3,2,1288.0,6970,1950.0,130000.0,146.0,100.93,0.1848,2.0,-10.34,1.0,75.0,50.0,90.0,69.2,-9.5,20
"2718-E-10th-St,-Lubbock,-TX-79403","2718 E 10th St, Lubbock, TX 79403",79403,Single Family,Standard,3,1,888.0,6534,1961.0,59000.0,133.0,66.44,0.1359,2.0,-16.9,1.0,87.5,31.2,93.8,69.1,-29.7,16
"5407-79th-St,-Lubbock,-TX-79424","5407 79th St, Lubbock, TX 79424",79424,Single Family,Standard,3,2,2608.0,8712,1974.0,305000.0,162.0,116.95,0.2994,1.0,0.0,0.0,97.9,70.8,0.0,68.9,-24.3,48
"6903-Gary-Ave,-Lubbock,-TX-79413","6903 Gary Ave, Lubbock, TX 79413",79413,Single Family,Standard,5,3,3328.0,8712,1990.0,315000.0,166.0,94.65,0.382,1.0,0.0,0.0,85.0,80.0,10.0,68.2,-15.1,20
"2805-53rd-St,-Lubbock,-TX-79413","2805 53rd St, Lubbock, TX 79413",79413,Single Family,Standard,3,2,1313.0,7405,1955.0,144950.0,163.0,110.4,0.1773,2.0,-84.98,1.0,55.0,70.0,95.0,68.2,-1.0,20
"1804-E-1st-Pl,-Lubbock,-TX-79403","1804 E 1st Pl, Lubbock, TX 79403",79403,Single Family,Standard,2,1,936.0,6534,1960.0,55000.0,149.0,58.76,0.1433,1.0,0.0,0.0,100.0,62.5,6.2,68.1,-37.8,16
