id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,age,logLot,predictedPrice,residual,residualPct
"5501-Peregine-Ln,-Prosper,-TX-75078","5501 Peregine Ln, Prosper, TX 75078",75078,Single Family,Standard,4,3.0,2860,6970.0,2019.0,409900,69,143.32,0.4103,1,0.0,0,7.0,8.84937050375457,632831.0,222931.0,35.2
"5650-Lincolnwood-Dr,-Prosper,-TX-75078","5650 Lincolnwood Dr, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,2263,7492.0,2009.0,336000,12,148.48,0.3021,2,1.82,0,17.0,8.921591063563978,510263.0,174263.0,34.2
"5591-Coventry-Dr,-Prosper,-TX-75078","5591 Coventry Dr, Prosper, TX 75078",75078,Single Family,Standard,4,2.0,1840,7697.0,2014.0,330000,144,179.35,0.2391,1,0.0,0,12.0,8.948585921534317,487739.0,157739.0,32.3
"16721-Millenium-Park-Pl,-Prosper,-TX-75078","16721 Millenium Park Pl, Prosper, TX 75078",75078,Single Family,Standard,5,4.0,3476,11413.0,2016.0,599900,14,172.58,0.3046,2,-9.38,1,10.0,9.3425083355536,872562.0,272662.0,31.2
"1081-Barrington-Dr,-Prosper,-TX-75078","1081 Barrington Dr, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,2679,8451.0,2009.0,390000,98,145.58,0.317,1,0.0,0,17.0,9.042040056544483,559960.0,169960.0,30.4
"1650-Chisholm-Trl,-Prosper,-TX-75078","1650 Chisholm Trl, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,4042,13852.0,2016.0,750000,19,185.55,0.2918,2,-10.61,1,10.0,9.536184905522312,1056989.0,306989.0,29.0
"5611-Coventry-Dr,-Prosper,-TX-75078","5611 Coventry Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.0,2928,6403.0,2014.0,424900,40,145.12,0.4573,1,0.0,0,12.0,8.764521909518802,587477.0,162577.0,27.7
"631-Table-Rock-Dr,-Prosper,-TX-75078","631 Table Rock Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3009,11326.0,2004.0,499999,102,166.17,0.2657,1,0.0,0,22.0,9.33485624667375,681269.0,181270.0,26.6
"1000-Chapala-Ct,-Prosper,-TX-75078","1000 Chapala Ct, Prosper, TX 75078",75078,Single Family,Standard,6,3.5,3072,17424.0,2006.0,599900,110,195.28,0.1763,1,0.0,0,20.0,9.765603845172741,811054.0,211154.0,26.0
"881-Sibyl-Ln,-Prosper,-TX-75078","881 Sibyl Ln, Prosper, TX 75078",75078,Single Family,Standard,4,2.0,2356,22738.0,2004.0,499000,138,211.8,0.1036,1,0.0,0,22.0,10.031792812689051,671642.0,172642.0,25.7
"5640-Lincolnwood-Dr,-Prosper,-TX-75078","5640 Lincolnwood Dr, Prosper, TX 75078",75078,Single Family,Standard,4,2.0,2338,8102.0,2009.0,375000,186,160.39,0.2886,3,-9.64,2,17.0,8.999866223762636,500389.0,125389.0,25.1
"1001-Willowgate-Dr,-Prosper,-TX-75078","1001 Willowgate Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,3812,16117.0,2002.0,698990,20,183.37,0.2365,1,0.0,0,24.0,9.687629894522718,927544.0,228554.0,24.6
"1021-English-Ivy-Dr,-Prosper,-TX-75078","1021 English Ivy Dr, Prosper, TX 75078",75078,Single Family,Standard,5,2.5,2946,7318.0,2007.0,410000,47,139.17,0.4026,1,0.0,0,19.0,8.898092345579153,539928.0,129928.0,24.1
"2490-Stonybrook-Dr,-Prosper,-TX-75078","2490 Stonybrook Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4.0,4766,15246.0,2015.0,852500,110,178.87,0.3126,3,-22.43,2,11.0,9.632072452548218,1119407.0,266907.0,23.8
"841-Wind-Brook-Ln,-Prosper,-TX-75078","841 Wind Brook Ln, Prosper, TX 75078",75078,Single Family,Standard,5,3.5,4382,14854.0,2005.0,684999,53,156.32,0.295,1,0.0,0,21.0,9.606024468229242,897090.0,212091.0,23.6
"1751-Laurel-Vista-Ct,-Prosper,-TX-75078","1751 Laurel Vista Ct, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,4259,14985.0,2022.0,914999,64,214.84,0.2842,4,-8.04,3,4.0,9.614804979750764,1190712.0,275713.0,23.2
"1540-Ashton-Ridge-Dr,-Prosper,-TX-75078","1540 Ashton Ridge Dr, Prosper, TX 75078",75078,Single Family,Standard,3,3.5,4401,14985.0,2020.0,818000,81,185.87,0.2937,2,-14.35,1,6.0,9.614804979750764,1061953.0,243953.0,23.0
"1611-Chisholm-Trl,-Prosper,-TX-75078","1611 Chisholm Trl, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,4640,14854.0,2015.0,899000,29,193.75,0.3124,3,-8.16,2,11.0,9.606024468229242,1154240.0,255240.0,22.1
"1041-White-Crest-Ln,-Prosper,-TX-75078","1041 White Crest Ln, Prosper, TX 75078",75078,Single Family,Standard,5,6.0,4417,12023.0,2014.0,959000,12,217.12,0.3674,1,0.0,0,12.0,9.394576760974909,1220518.0,261518.0,21.4
"16305-Toledo-Bend-Ct,-Prosper,-TX-75078","16305 Toledo Bend Ct, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,2424,6098.0,2013.0,399000,176,164.6,0.3975,2,-13.26,1,13.0,8.7157161275482,507589.0,108589.0,21.4
"4250-Mill-Branch-Dr,-Prosper,-TX-75078","4250 Mill Branch Dr, Prosper, TX 75078",75078,Single Family,Standard,5,5.5,3895,10411.0,2021.0,875000,19,224.65,0.3741,5,-12.41,3,5.0,9.250618218474752,1111837.0,236837.0,21.3
"2130-Lassen-Dr,-Prosper,-TX-75078","2130 Lassen Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,5060,19428.0,2022.0,1150000,52,227.27,0.2604,2,-11.54,1,4.0,9.874470603465635,1437377.0,287377.0,20.0
"131-Darian-Dr,-Prosper,-TX-75078","131 Darian Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,3750,10280.0,2016.0,739000,104,197.07,0.3648,1,0.0,0,10.0,9.237955539009157,921671.0,182671.0,19.8
"280-Dave-Trl,-Prosper,-TX-75078","280 Dave Trl, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3930,9888.0,2006.0,599000,84,152.42,0.3975,3,0.76,1,20.0,9.199077179697472,747219.0,148219.0,19.8
"15933-Perdido-Creek-Trl,-Prosper,-TX-75078","15933 Perdido Creek Trl, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3311,7231.0,2016.0,558000,78,168.53,0.4579,1,0.0,0,10.0,8.886132618174951,693723.0,135723.0,19.6
"15505-City-Garden-Ln,-Prosper,-TX-75078","15505 City Garden Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,3691,11848.0,2016.0,775000,208,209.97,0.3115,2,-22.11,1,10.0,9.379914355947635,959501.0,184501.0,19.2
