id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"16305-Toledo-Bend-Ct,-Prosper,-TX-75078","16305 Toledo Bend Ct, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,2424.0,6098,2013.0,399000.0,176.0,164.6,0.3975,2.0,-13.26,1.0,99.4,97.0,95.1,97.7,-36.1,473
"5640-Lincolnwood-Dr,-Prosper,-TX-75078","5640 Lincolnwood Dr, Prosper, TX 75078",75078,Single Family,Standard,4,2,2338.0,8102,2009.0,375000.0,186.0,160.39,0.2886,3.0,-9.64,2.0,99.8,97.9,91.1,97.4,-37.7,473
"2920-Clearwater-Dr,-Prosper,-TX-75078","2920 Clearwater Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4,3822.0,7492,2016.0,700000.0,157.0,183.15,0.5101,2.0,-6.67,1.0,95.1,95.1,85.8,93.3,-28.9,473
"1420-Candler-Dr,-Prosper,-TX-75078","1420 Candler Dr, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,3075.0,6621,2015.0,500000.0,111.0,162.6,0.4644,2.0,-11.5,1.0,99.6,84.8,92.8,93.0,-36.8,473
"2490-Stonybrook-Dr,-Prosper,-TX-75078","2490 Stonybrook Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4,4766.0,15246,2015.0,852500.0,110.0,178.87,0.3126,3.0,-22.43,2.0,96.8,83.7,98.7,92.6,-30.5,473
"15505-City-Garden-Ln,-Prosper,-TX-75078","15505 City Garden Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,3691.0,11848,2016.0,775000.0,208.0,209.97,0.3115,2.0,-22.11,1.0,83.9,98.7,98.5,92.0,-18.5,473
"1540-Ashton-Ridge-Dr,-Prosper,-TX-75078","1540 Ashton Ridge Dr, Prosper, TX 75078",75078,Single Family,Standard,3,3.5,4401.0,14985,2020.0,818000.0,81.0,185.87,0.2937,2.0,-14.35,1.0,94.3,73.8,96.4,87.5,-27.8,473
"3141-Sunfish-St,-Prosper,-TX-75078","3141 Sunfish St, Prosper, TX 75078",75078,Single Family,Standard,5,5,3508.0,7100,2023.0,799000.0,279.0,227.77,0.4941,3.0,-32.86,2.0,72.3,99.8,99.6,87.4,-11.5,473
"411-Salada-Dr,-Prosper,-TX-75078","411 Salada Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3693.0,10019,2015.0,714900.0,89.0,193.58,0.3686,2.0,-13.87,1.0,90.9,76.1,95.6,86.7,-24.8,473
"2310-Red-Cedar-Trl,-Prosper,-TX-75078","2310 Red Cedar Trl, Prosper, TX 75078",75078,Single Family,Standard,4,5,4087.0,8712,2022.0,920000.0,169.0,225.1,0.4691,2.0,-14.42,1.0,74.6,96.0,96.6,86.5,-12.6,473
